,index,Time,Deal ID,Order Ticket,Type,Volume,Price,Profit,Comment,Magic
0,56,2023-03-29 15:08:09,267851674,146078214,Sell,0.01,1966.148,-3.12,[sl 1966.148],123999
1,58,2023-03-29 17:41:33,267915037,146134790,Sell,0.01,1968.253,3.12,[tp 1968.253],123999
2,60,2023-03-29 19:01:04,267933799,146151811,Sell,0.01,1966.052,-3.13,[sl 1966.052],123999
3,76,2023-03-30 16:00:46,268440990,146546900,Sell,0.01,1975.363,3.12,[tp 1975.363],123999
4,78,2023-03-30 17:13:31,268486375,146586099,Sell,0.01,1980.361,-3.13,[sl 1980.361],123999
5,80,2023-03-31 07:19:03,268670643,146730069,Sell,0.01,1981.207,-3.12,[sl 1981.207],123999
6,82,2023-03-31 11:29:47,268798170,146835994,Sell,0.01,1981.799,3.13,[tp 1981.799],123999
7,84,2023-03-31 19:05:11,269020107,147026872,Sell,0.01,1968.435,-3.12,[sl 1968.435],123999
8,86,2023-04-03 01:45:13,269391156,147259605,Sell,0.01,1959.667,-3.12,[sl 1959.667],123999
9,88,2023-04-03 08:22:51,269581073,147388957,Sell,0.01,1965.072,3.12,[tp 1965.072],123999
10,90,2023-04-03 10:12:41,269629594,147429873,Sell,0.01,1969.259,3.13,[tp 1969.259],123999
11,92,2023-04-03 11:31:40,269680116,147468589,Sell,0.01,1976.21,3.58,[tp 1975.758],123999
12,94,2023-04-03 13:31:12,269750718,147525083,Sell,0.01,1975.62,-3.13,[sl 1975.620],123999
13,96,2023-04-03 15:31:01,269884319,147617571,Sell,0.01,1989.307,3.13,[tp 1989.307],123999
14,98,2023-04-04 14:00:09,270407933,147976264,Sell,0.01,1995.76,3.12,[tp 1995.760],123999
15,100,2023-04-04 15:30:20,270563300,148092273,Sell,0.01,2019.158,3.13,[tp 2019.158],123999
16,102,2023-04-04 16:07:56,270587467,148112967,Sell,0.01,2023.461,3.12,[tp 2023.461],123999
17,104,2023-04-05 07:28:01,270893288,148285729,Sell,0.01,2027.231,3.12,[tp 2027.231],123999
18,106,2023-04-05 13:20:46,271088279,148424867,Sell,0.01,2028.728,-3.12,[sl 2028.728],123999
19,108,2023-04-06 17:36:29,271952543,148992698,Sell,0.01,2008.838,-3.12,[sl 2008.838],123999
20,110,2023-04-10 00:30:29,272858212,149261409,Sell,0.01,2002.416,-3.12,[sl 2002.416],123999
21,112,2023-04-10 12:16:10,273129966,149458549,Sell,0.01,1997.618,-3.12,[sl 1997.618],123999
22,114,2023-04-11 05:18:21,273517404,149735923,Sell,0.01,2000.956,3.13,[tp 2000.956],123999
23,117,2023-04-11 13:10:08,273752357,149920531,Buy,0.01,1997.331,3.13,[tp 1997.331],123992
24,118,2023-04-11 13:55:01,273785085,149945300,Buy,0.01,2001.984,-3.12,[sl 2001.984],123992
25,121,2023-04-12 02:38:59,274052927,150122207,Sell,0.01,2018.144,3.12,[tp 2018.144],123999
26,122,2023-04-12 02:38:59,274052937,150122209,Sell,0.01,2018.174,3.12,[tp 2018.174],123992
27,124,2023-04-12 06:30:00,274167936,150208401,Buy,0.01,2014.86,3.13,[tp 2014.860],123992
28,126,2023-04-12 07:40:15,274225524,150257551,Buy,0.01,2012.562,3.13,[tp 2012.562],123992
29,128,2023-04-12 08:52:41,274283941,150307734,Buy,0.01,2009.895,3.12,[tp 2009.895],123992
30,131,2023-04-12 12:30:05,274384022,150384328,Buy,0.01,2016.373,-7.37,[sl 2012.127],123992
31,132,2023-04-12 12:30:05,274384023,150384336,Buy,0.01,2016.373,-7.52,[sl 2011.974],123992
32,135,2023-04-12 13:09:58,274456794,150436441,Sell,0.01,2019.535,-3.12,[sl 2019.535],123992
33,136,2023-04-12 13:09:58,274456793,150436444,Sell,0.01,2019.535,-3.12,[sl 2019.535],123999
34,138,2023-04-12 14:07:21,274517052,150484528,Buy,0.01,2010.975,-3.13,[sl 2010.975],123992
35,141,2023-04-12 18:14:26,274640758,150581919,Sell,0.01,2014.767,3.13,[tp 2014.767],123999
36,142,2023-04-12 18:14:26,274640757,150581920,Sell,0.01,2014.767,3.13,[tp 2014.767],123992
37,145,2023-04-13 00:01:57,274698370,150612386,Sell,0.01,2019.078,3.13,[tp 2019.078],123992
38,146,2023-04-13 00:01:57,274698372,150612387,Sell,0.01,2019.078,3.13,[tp 2019.078],123999
39,148,2023-04-13 06:14:25,274797340,150680097,Buy,0.01,2018.465,-3.13,[sl 2018.465],123992
40,151,2023-04-13 07:32:12,274843141,150709126,Sell,0.01,2023.884,3.12,[tp 2023.884],123999
41,152,2023-04-13 07:32:12,274843143,150709128,Sell,0.01,2023.882,3.12,[tp 2023.882],123992
42,155,2023-04-13 08:19:29,274871505,150731635,Sell,0.01,2027.788,3.13,[tp 2027.788],123999
43,156,2023-04-13 08:19:29,274871504,150731638,Sell,0.01,2027.788,3.13,[tp 2027.788],123992
44,159,2023-04-13 13:07:34,275072463,150872807,Sell,0.01,2042.122,-3.13,[sl 2042.122],123999
45,160,2023-04-13 13:07:37,275072513,150872850,Sell,0.01,2041.717,-3.12,[sl 2041.717],123992
46,162,2023-04-13 15:07:45,275197740,150947059,Buy,0.01,2037.273,-3.12,[sl 2037.273],123992
47,165,2023-04-13 17:33:41,275293475,151002076,Sell,0.01,2042.194,3.12,[tp 2042.194],123992
48,166,2023-04-13 17:37:00,275295325,151002978,Sell,0.01,2042.226,3.13,[tp 2042.226],123999
49,169,2023-04-13 18:27:52,275323966,151015915,Sell,0.01,2040.815,-3.12,[sl 2040.815],123999
50,170,2023-04-13 18:27:52,275323968,151015916,Sell,0.01,2040.815,-3.12,[sl 2040.815],123992
51,172,2023-04-14 00:40:06,275425174,151050717,Buy,0.01,2041.621,-3.12,[sl 2041.621],123992
52,175,2023-04-14 03:31:50,275522659,151091443,Sell,0.01,2042.879,-3.12,[sl 2042.879],123992
53,176,2023-04-14 03:31:50,275522660,151091447,Sell,0.01,2042.882,-3.13,[sl 2042.882],123999
54,178,2023-04-14 05:39:33,275580627,151118645,Buy,0.01,2040.26,3.13,[tp 2040.260],123992
55,180,2023-04-14 08:07:24,275681834,151171058,Buy,0.01,2034.987,4.21,[tp 2036.073],123992
56,182,2023-04-14 09:59:53,275760010,151217357,Buy,0.01,2038.883,-3.12,[sl 2038.883],123992
57,184,2023-04-14 12:19:19,275834299,151272138,Buy,0.01,2036.442,-3.12,[sl 2036.442],123992
58,186,2023-04-14 13:15:16,275907288,151327443,Buy,0.01,2020.945,3.4699999999999998,[tp 2021.299],123992
59,188,2023-04-14 15:03:06,276022687,151418657,Buy,0.01,1995.414,3.13,[tp 1995.414],123992
60,190,2023-04-14 16:16:07,276083732,151465482,Buy,0.01,1992.63,3.13,[tp 1992.630],123992
61,193,2023-04-14 17:08:25,276115420,151490176,Sell,0.01,2002.819,3.13,[tp 2002.819],123992
62,194,2023-04-14 17:08:39,276115481,151490220,Sell,0.01,2002.887,3.13,[tp 2002.887],123999
63,197,2023-04-14 19:17:22,276151472,151514401,Sell,0.01,2007.213,3.12,[tp 2007.213],123992
64,198,2023-04-14 19:17:22,276151471,151514402,Sell,0.01,2007.213,3.12,[tp 2007.213],123999
65,207,2023-04-19 06:09:26,277666630,152593541,Buy,0.01,1997.387,3.12,[tp 1997.387],123992
66,208,2023-04-19 06:09:26,277666628,152593542,Buy,0.01,1997.349,3.12,[tp 1997.349],123992
67,210,2023-04-19 06:15:54,277678279,152600384,Buy,0.01,1993.763,3.13,[tp 1993.763],123993
68,212,2023-04-19 06:27:02,277694063,152612130,Buy,0.01,1988.117,3.12,[tp 1988.117],123994
69,215,2023-04-19 07:06:47,277723062,152635944,Buy,0.01,1994.135,-3.13,[sl 1994.135],123993
70,216,2023-04-19 07:06:50,277723119,152635998,Buy,0.01,1994.274,-3.12,[sl 1994.274],123992
71,218,2023-04-19 08:39:07,277782100,152682478,Buy,0.01,1982.415,3.12,[tp 1982.415],123994
72,220,2023-04-19 08:51:29,277798515,152694368,Buy,0.01,1980.618,-3.13,[sl 1980.618],123994
73,223,2023-04-19 09:32:00,277826948,152713007,Buy,0.01,1976.618,3.12,[tp 1976.618],123992
74,224,2023-04-19 09:32:56,277829002,152714118,Buy,0.01,1976.586,3.12,[tp 1976.586],123993
75,227,2023-04-19 11:07:07,277885013,152756165,Buy,0.01,1970.936,3.12,[tp 1970.936],123992
76,228,2023-04-19 11:07:07,277885014,152756167,Buy,0.01,1970.936,3.12,[tp 1970.936],123993
77,231,2023-04-19 12:16:18,277922082,152785747,Buy,0.01,1973.714,-3.12,[sl 1973.714],123993
78,232,2023-04-19 12:16:18,277922083,152785748,Buy,0.01,1973.683,-3.12,[sl 1973.683],123992
79,236,2023-04-19 13:25:22,277974047,152827997,Sell,0.01,1984.07,3.46,[tp 1983.736],123992
80,237,2023-04-19 13:25:22,277974062,152828005,Sell,0.01,1983.844,3.12,[tp 1983.844],123999
81,238,2023-04-19 13:25:22,277974063,152828007,Sell,0.01,1984.07,3.41,[tp 1983.782],123993
82,240,2023-04-19 13:45:49,277992382,152843271,Sell,0.01,1991.212,3.12,[tp 1991.212],123994
83,244,2023-04-19 14:06:25,278008087,152856143,Sell,0.01,1995.217,4.43,[tp 1993.919],123992
84,245,2023-04-19 14:06:25,278008088,152856148,Sell,0.01,1995.217,4.36,[tp 1993.985],123993
85,246,2023-04-19 14:06:25,278008126,152856205,Sell,0.01,1995.232,4.28,[tp 1994.076],123999
86,248,2023-04-19 16:32:19,278091008,152921245,Buy,0.01,1993.94,-3.12,[sl 1993.940],123992
87,254,2023-04-19 23:42:32,278173045,152971349,Sell,0.01,1993.256,-3.12,[sl 1993.256],123993
88,255,2023-04-19 23:42:50,278173158,152971389,Sell,0.01,1993.156,-3.12,[sl 1993.156],123999
89,258,2023-04-20 01:06:17,278194948,152986611,Sell,0.01,1993.014,-3.13,[sl 1993.014],123992
90,259,2023-04-20 01:32:53,278204227,152992414,Buy,0.01,1997.137,-3.13,[sl 1997.137],123992
91,260,2023-04-20 01:33:06,278204554,152992643,Buy,0.01,1997.413,-3.12,[sl 1997.413],123992
